,dataset,kernel,induction_method,loss,ause,ece,accuracy,f1
56,red-wine,linear,kmeans,trace_elbo,0.005668236208435027,0.1461484218321076,0.65,0.6982758620689656
57,red-wine,linear,kmeans,trace_elbo,0.006626751920990439,0.22126846868998507,0.725,0.7488584474885844
58,red-wine,linear,random,trace_elbo,0.004130489305494035,0.15311759169210049,0.655,0.6790697674418604
59,red-wine,linear,random,trace_elbo,0.004934319090779974,0.13197637740772786,0.635,0.6945606694560669
60,red-wine,linear,kmeans,trace_meanfield_elbo,0.011351128173997268,0.20060999138780772,0.715,0.7164179104477612
61,red-wine,linear,kmeans,trace_meanfield_elbo,0.009346244741532153,0.25126401513718233,0.765,0.7772511848341231
62,red-wine,linear,random,trace_meanfield_elbo,0.009963214613258298,0.22983904809881475,0.74,0.7570093457943925
63,red-wine,linear,random,trace_meanfield_elbo,0.015100701804322098,0.22266856400025645,0.735,0.7644444444444444
64,red-wine,poly,kmeans,trace_elbo,0.00938686211800533,0.01467295487122231,0.49,0.5
65,red-wine,poly,kmeans,trace_elbo,0.005889766219766713,0.04972136726897383,0.455,0.42931937172774864
66,red-wine,poly,random,trace_elbo,0.005414047817902071,0.026410391957629883,0.53,0.6384615384615385
67,red-wine,poly,random,trace_elbo,0.004005900745702292,0.08733760038759282,0.59,0.6796875000000001
68,red-wine,poly,kmeans,trace_meanfield_elbo,0.011154335425103103,0.149067593391214,0.665,0.6912442396313364
69,red-wine,poly,kmeans,trace_meanfield_elbo,0.0202120037136762,0.15500873704932377,0.68,0.6483516483516483
70,red-wine,poly,random,trace_meanfield_elbo,0.016712643289521743,0.15485460697333558,0.67,0.6915887850467289
71,red-wine,poly,random,trace_meanfield_elbo,0.00864592004005592,0.24357613928699665,0.755,0.7878787878787878
72,white-wine,rbf,kmeans,trace_elbo,0.40737955421713345,0.041898024370416474,0.7895595432300163,0.1103448275862069
73,white-wine,rbf,kmeans,trace_elbo,0.36618939635957604,0.07644409365950368,0.7781402936378466,0.10526315789473684
74,white-wine,rbf,random,trace_elbo,0.4307207719828637,0.018147246762317812,0.7960848287112561,0.20382165605095542
75,white-wine,rbf,random,trace_elbo,0.5185420341205088,0.03975269104020892,0.7944535073409462,0.20253164556962025
76,white-wine,rbf,kmeans,trace_meanfield_elbo,0.5289530606822934,0.02098616979029073,0.7830342577487766,0.19393939393939394
77,white-wine,rbf,kmeans,trace_meanfield_elbo,0.37550369891021484,0.019939023504399755,0.8172920065252854,0.36363636363636365
78,white-wine,rbf,random,trace_meanfield_elbo,0.44656155197681874,0.03512236781846254,0.7895595432300163,0.178343949044586
79,white-wine,rbf,random,trace_meanfield_elbo,0.47403470427302696,0.0277011114783417,0.8058727569331158,0.24203821656050953
80,white-wine,linear,kmeans,trace_elbo,0.0046093059017404785,0.029388208810048697,0.4730831973898858,0.2024691358024691
81,white-wine,linear,kmeans,trace_elbo,0.004098140901875826,0.0915623220301592,0.5938009787928222,0.32152588555858314
82,white-wine,linear,random,trace_elbo,0.002918765175661222,0.038445173829422655,0.5399673735725938,0.32211538461538464
83,white-wine,linear,random,trace_elbo,0.0030998550609941016,0.14909655605128466,0.6508972267536705,0.20149253731343286
84,white-wine,linear,kmeans,trace_meanfield_elbo,0.00790043653123924,0.24125107553329175,0.7553017944535073,0.4791666666666667
85,white-wine,linear,kmeans,trace_meanfield_elbo,0.005959142127268317,0.25435950838680504,0.765089722675367,0.4965034965034965
86,white-wine,linear,random,trace_meanfield_elbo,0.009212157854889866,0.2662345282458007,0.7879282218597063,0.21686746987951808
87,white-wine,linear,random,trace_meanfield_elbo,0.01491621342088824,0.27693182118558374,0.7960848287112561,0.3169398907103825
88,white-wine,poly,kmeans,trace_elbo,0.012351046913999839,0.02176868815231062,0.48450244698205547,0.2651162790697674
89,white-wine,poly,kmeans,trace_elbo,0.006864924230559769,0.06317325432789762,0.44045676998368677,0.1694915254237288
90,white-wine,poly,random,trace_elbo,0.0030136887894144032,0.017384320101086478,0.5187601957585645,0.23772609819121446
